pwm,repeat,side,hall,opto,expected_opto,signed_error_pct,ratio_opto_per_hall
10,1,L,13,21,17.333333333333332,21.153846153846164,1.6153846153846154
10,1,R,11,17,14.666666666666666,15.909090909090914,1.5454545454545454
10,2,L,13,21,17.333333333333332,21.153846153846164,1.6153846153846154
10,2,R,11,15,14.666666666666666,2.272727272727277,1.3636363636363635
10,3,L,12,19,16.0,18.75,1.5833333333333333
10,3,R,12,17,16.0,6.25,1.4166666666666667
15,1,L,23,34,30.666666666666664,10.869565217391314,1.4782608695652173
15,1,R,23,30,30.666666666666664,-2.173913043478253,1.3043478260869565
15,2,L,23,32,30.666666666666664,4.3478260869565295,1.391304347826087
15,2,R,22,31,29.333333333333332,5.681818181818187,1.4090909090909092
15,3,L,23,36,30.666666666666664,17.391304347826097,1.565217391304348
15,3,R,22,30,29.333333333333332,2.272727272727277,1.3636363636363635
20,1,L,32,50,42.666666666666664,17.187500000000007,1.5625
20,1,R,32,44,42.666666666666664,3.1250000000000058,1.375
20,2,L,32,45,42.666666666666664,5.468750000000006,1.40625
20,2,R,32,43,42.666666666666664,0.7812500000000056,1.34375
20,3,L,32,50,42.666666666666664,17.187500000000007,1.5625
20,3,R,31,45,41.33333333333333,8.870967741935496,1.4516129032258065
25,1,L,43,61,57.33333333333333,6.395348837209311,1.4186046511627908
25,1,R,42,58,56.0,3.5714285714285716,1.380952380952381
25,2,L,42,58,56.0,3.5714285714285716,1.380952380952381
25,2,R,43,58,57.33333333333333,1.1627906976744269,1.3488372093023255
25,3,L,43,60,57.33333333333333,4.651162790697683,1.3953488372093024
25,3,R,42,59,56.0,5.357142857142857,1.4047619047619047
30,1,L,53,73,70.66666666666666,3.301886792452844,1.3773584905660377
30,1,R,52,69,69.33333333333333,-0.48076923076922395,1.3269230769230769
30,2,L,53,79,70.66666666666666,11.792452830188694,1.490566037735849
30,2,R,52,68,69.33333333333333,-1.9230769230769165,1.3076923076923077
30,3,L,52,77,69.33333333333333,11.057692307692315,1.4807692307692308
30,3,R,52,71,69.33333333333333,2.403846153846161,1.3653846153846154
35,1,L,61,84,81.33333333333333,3.27868852459017,1.3770491803278688
35,1,R,61,85,81.33333333333333,4.5081967213114815,1.3934426229508197
35,2,L,62,88,82.66666666666666,6.4516129032258185,1.4193548387096775
35,2,R,61,84,81.33333333333333,3.27868852459017,1.3770491803278688
35,3,L,62,79,82.66666666666666,-4.435483870967731,1.2741935483870968
35,3,R,61,87,81.33333333333333,6.967213114754105,1.4262295081967213
40,1,L,72,97,96.0,1.0416666666666667,1.3472222222222223
40,1,R,71,100,94.66666666666666,5.633802816901419,1.408450704225352
40,2,L,72,99,96.0,3.125,1.375
40,2,R,70,93,93.33333333333333,-0.3571428571428521,1.3285714285714285
40,3,L,72,101,96.0,5.208333333333333,1.4027777777777777
40,3,R,70,96,93.33333333333333,2.8571428571428625,1.3714285714285714
50,1,L,90,107,120.0,-10.833333333333334,1.1888888888888889
50,1,R,89,124,118.66666666666666,4.494382022471918,1.3932584269662922
50,2,L,90,114,120.0,-5.0,1.2666666666666666
50,2,R,89,126,118.66666666666666,6.179775280898885,1.4157303370786516
50,3,L,90,120,120.0,0.0,1.3333333333333333
50,3,R,90,119,120.0,-0.8333333333333334,1.3222222222222222
60,1,L,108,135,144.0,-6.25,1.25
60,1,R,108,143,144.0,-0.6944444444444444,1.3240740740740742
60,2,L,107,131,142.66666666666666,-8.177570093457938,1.2242990654205608
60,2,R,107,144,142.66666666666666,0.9345794392523431,1.3457943925233644
60,3,L,108,127,144.0,-11.805555555555555,1.1759259259259258
60,3,R,106,142,141.33333333333331,0.47169811320756067,1.3396226415094339
70,1,L,124,155,165.33333333333331,-6.249999999999989,1.25
70,1,R,123,163,164.0,-0.6097560975609756,1.3252032520325203
70,2,L,124,150,165.33333333333331,-9.274193548387087,1.2096774193548387
70,2,R,124,163,165.33333333333331,-1.411290322580634,1.314516129032258
70,3,L,124,158,165.33333333333331,-4.435483870967731,1.2741935483870968
70,3,R,125,167,166.66666666666666,0.2000000000000057,1.336
80,1,L,141,168,188.0,-10.638297872340425,1.1914893617021276
80,1,R,143,187,190.66666666666666,-1.9230769230769182,1.3076923076923077
80,2,L,141,167,188.0,-11.170212765957446,1.1843971631205674
80,2,R,143,196,190.66666666666666,2.7972027972028024,1.3706293706293706
80,3,L,141,176,188.0,-6.382978723404255,1.24822695035461
80,3,R,143,188,190.66666666666666,-1.3986013986013937,1.3146853146853146
