pwm,repeat,side,hall,opto,expected_opto,signed_error_pct,ratio_opto_per_hall
10,1,L,13,34,17.333333333333332,96.15384615384616,2.6153846153846154
10,1,R,13,27,17.333333333333332,55.76923076923078,2.076923076923077
10,2,L,12,32,16.0,100.0,2.6666666666666665
10,2,R,14,28,18.666666666666664,50.00000000000002,2.0
10,3,L,12,35,16.0,118.75,2.9166666666666665
10,3,R,13,26,17.333333333333332,50.00000000000001,2.0
15,1,L,24,37,32.0,15.625,1.5416666666666667
15,1,R,24,42,32.0,31.25,1.75
15,2,L,23,39,30.666666666666664,27.173913043478272,1.6956521739130435
15,2,R,24,40,32.0,25.0,1.6666666666666667
15,3,L,23,40,30.666666666666664,30.434782608695663,1.7391304347826086
15,3,R,24,41,32.0,28.125,1.7083333333333333
20,1,L,32,47,42.666666666666664,10.156250000000007,1.46875
20,1,R,33,46,44.0,4.545454545454546,1.393939393939394
20,2,L,32,50,42.666666666666664,17.187500000000007,1.5625
20,2,R,33,45,44.0,2.272727272727273,1.3636363636363635
20,3,L,32,50,42.666666666666664,17.187500000000007,1.5625
20,3,R,33,43,44.0,-2.272727272727273,1.303030303030303
25,1,L,43,60,57.33333333333333,4.651162790697683,1.3953488372093024
25,1,R,43,62,57.33333333333333,8.13953488372094,1.441860465116279
25,2,L,43,59,57.33333333333333,2.9069767441860552,1.372093023255814
25,2,R,43,57,57.33333333333333,-0.5813953488372011,1.3255813953488371
25,3,L,42,59,56.0,5.357142857142857,1.4047619047619047
25,3,R,43,59,57.33333333333333,2.9069767441860552,1.372093023255814
30,1,L,52,74,69.33333333333333,6.730769230769238,1.4230769230769231
30,1,R,54,72,72.0,0.0,1.3333333333333333
30,2,L,53,73,70.66666666666666,3.301886792452844,1.3773584905660377
30,2,R,54,74,72.0,2.7777777777777777,1.3703703703703705
30,3,L,53,75,70.66666666666666,6.132075471698127,1.4150943396226414
30,3,R,54,74,72.0,2.7777777777777777,1.3703703703703705
35,1,L,61,84,81.33333333333333,3.27868852459017,1.3770491803278688
35,1,R,62,86,82.66666666666666,4.0322580645161405,1.3870967741935485
35,2,L,61,82,81.33333333333333,0.8196721311475469,1.3442622950819672
35,2,R,62,83,82.66666666666666,0.4032258064516244,1.3387096774193548
35,3,L,61,84,81.33333333333333,3.27868852459017,1.3770491803278688
35,3,R,62,85,82.66666666666666,2.822580645161302,1.3709677419354838
40,1,L,72,88,96.0,-8.333333333333334,1.2222222222222223
40,1,R,72,99,96.0,3.125,1.375
40,2,L,71,94,94.66666666666666,-0.7042253521126661,1.323943661971831
40,2,R,73,101,97.33333333333333,3.7671232876712377,1.3835616438356164
40,3,L,72,95,96.0,-1.0416666666666667,1.3194444444444444
40,3,R,73,101,97.33333333333333,3.7671232876712377,1.3835616438356164
50,1,L,89,101,118.66666666666666,-14.887640449438194,1.1348314606741574
50,1,R,90,119,120.0,-0.8333333333333334,1.3222222222222222
50,2,L,89,101,118.66666666666666,-14.887640449438194,1.1348314606741574
50,2,R,90,122,120.0,1.6666666666666667,1.3555555555555556
50,3,L,90,98,120.0,-18.333333333333332,1.0888888888888888
50,3,R,90,126,120.0,5.0,1.4
60,1,L,108,113,144.0,-21.52777777777778,1.0462962962962963
60,1,R,108,117,144.0,-18.75,1.0833333333333333
60,2,L,107,116,142.66666666666666,-18.691588785046722,1.0841121495327102
60,2,R,109,114,145.33333333333331,-21.559633027522924,1.0458715596330275
60,3,L,107,115,142.66666666666666,-19.392523364485974,1.074766355140187
60,3,R,108,115,144.0,-20.13888888888889,1.0648148148148149
70,1,L,124,130,165.33333333333331,-21.370967741935473,1.0483870967741935
70,1,R,124,127,165.33333333333331,-23.185483870967733,1.0241935483870968
70,2,L,124,131,165.33333333333331,-20.766129032258053,1.0564516129032258
70,2,R,124,133,165.33333333333331,-19.556451612903214,1.0725806451612903
70,3,L,124,128,165.33333333333331,-22.580645161290313,1.032258064516129
70,3,R,123,125,164.0,-23.78048780487805,1.016260162601626
80,1,L,141,149,188.0,-20.74468085106383,1.0567375886524824
80,1,R,140,142,186.66666666666666,-23.928571428571427,1.0142857142857142
80,2,L,141,147,188.0,-21.80851063829787,1.0425531914893618
80,2,R,140,150,186.66666666666666,-19.64285714285714,1.0714285714285714
80,3,L,140,146,186.66666666666666,-21.78571428571428,1.042857142857143
80,3,R,141,141,188.0,-25.0,1.0
